COURSE_ACAD_YR,POLY,JAE_COURSE_CODE,COURSE_TITLE,JAE_COURSE_CLUSTER,JAE_ELR2B2,ELR2B2_YEAR,COURSE_URL,NEW_COURSE
2019/20,SP,S98,Biomedical Science,APPLIED SCIENCES,7,2018,https://www.sp.edu.sg/cls/courses/full-time-diplomas/biomedical-science,No
2019/20,SP,S99,Electrical & Electronic Engineering,ENGINEERING,18,2018,https://www.sp.edu.sg/eee/courses/full-time-diplomas/electrical-electronic-engineering,No
2019/20,TP,T01,Common Business Programme,BUSINESS & MANAGEMENT,17,2018,http://www.tp.edu.sg/schools/bus/common-business-programme,No
2019/20,TP,T02,Accountancy & Finance,BUSINESS & MANAGEMENT,14,2018,http://www.tp.edu.sg/schools/bus/accountancy-and-finance,No
2019/20,TP,T04,Aviation Management,BUSINESS & MANAGEMENT,13,2018,http://www.tp.edu.sg/schools/eng/aviation-management,No
2019/20,TP,T07,Logistics &  Operations Management,BUSINESS & MANAGEMENT,-,-,http://www.tp.edu.sg/schools/bus/logistics-and-operations-management,No
2019/20,TP,T08,Hospitality & Tourism Management,BUSINESS & MANAGEMENT,15,2018,http://www.tp.edu.sg/schools/bus/hospitality-and-tourism-management,No
2019/20,TP,T09,Law & Management,BUSINESS & MANAGEMENT,13,2018,http://www.tp.edu.sg/schools/bus/law-and-management,No
2019/20,TP,T10,Business,BUSINESS & MANAGEMENT,-,-,http://www.tp.edu.sg/schools/bus/business#,No
2019/20,TP,T13,Computer Engineering,ENGINEERING,18,2018,http://www.tp.edu.sg/schools/eng/computer-engineering,No
2019/20,TP,T17,Financial Business Informatics,BUSINESS & MANAGEMENT,16,2018,http://www.tp.edu.sg/schools/iit/financial-business-informatics,No
2019/20,TP,T18,Culinary & Catering Management,BUSINESS & MANAGEMENT,16,2018,http://www.tp.edu.sg/schools/bus/culinary-and-catering-management,No
2019/20,TP,T20,Apparel Design & Merchandising,MEDIA & DESIGN,17,2018,http://www.tp.edu.sg/schools/des/apparel-design-and-merchandising,No
2019/20,TP,T22,Interior Architecture & Design,MEDIA & DESIGN,18,2018,http://www.tp.edu.sg/schools/des/interior-architecture-and-design,No
2019/20,TP,T23,Digital Film & Television,MEDIA & DESIGN,14,2018,http://www.tp.edu.sg/schools/des/digital-film-and-television,No
2019/20,TP,T25,Pharmaceutical Science,APPLIED SCIENCES,11,2018,http://www.tp.edu.sg/schools/asc/pharmaceutical-science,No
2019/20,TP,T26,"Food, Nutrition & Culinary Sciences",APPLIED SCIENCES,15,2018,http://www.tp.edu.sg/schools/asc/food-nutrition-and-culinary-sciences,No
2019/20,TP,T28,Integrated Facility Management,BUILT ENVIRONMENT,18,2018,http://www.tp.edu.sg/schools/eng/integrated-facility-management-t28,No
2019/20,TP,T29,Green Building & Sustainability,BUILT ENVIRONMENT,24,2018,http://www.tp.edu.sg/schools/eng/green-building-and-sustainability,No
2019/20,TP,T30,Information Technology,INFORMATION & DIGITAL TECHNOLOGIES,18,2018,http://www.tp.edu.sg/schools/iit/information-technology,No
2019/20,TP,T33,Chemical Engineering,APPLIED SCIENCES,15,2018,http://www.tp.edu.sg/schools/asc/chemical-engineering,No
2019/20,TP,T35,Product & Industrial Design,MEDIA & DESIGN,19,2018,http://www.tp.edu.sg/schools/des/product-and-industrial-design,No
2019/20,TP,T38,Biomedical Engineering,APPLIED SCIENCES,14,2018,http://www.tp.edu.sg/schools/eng/biomedical-engineering,No
2019/20,TP,T40,Communications & Media Management,BUSINESS & MANAGEMENT,14,2018,http://www.tp.edu.sg/schools/bus/communications-and-media-management,No
2019/20,TP,T43,Business Process & Systems Engineering,BUSINESS & MANAGEMENT,21,2018,http://www.tp.edu.sg/schools/eng/business-process-and-systems-engineering,No
2019/20,TP,T45,Veterinary Technology,APPLIED SCIENCES,9,2018,http://www.tp.edu.sg/schools/asc/veterinary-technology-t45,No
2019/20,TP,T48,Psychology Studies,HUMANITIES,10,2018,http://www.tp.edu.sg/schools/hss/psychology-studies,No
2019/20,TP,T50,Aerospace Electronics,ENGINEERING,14,2018,http://www.tp.edu.sg/schools/eng/aerospace-electronics,No
2019/20,TP,T51,Aerospace Engineering,ENGINEERING,12,2018,http://www.tp.edu.sg/schools/eng/aerospace-engineering-t51,No
2019/20,TP,T52,Clean Energy,ENGINEERING,22,2018,http://www.tp.edu.sg/schools/eng/clean-energy,No
2019/20,TP,T53,Social Sciences in Gerontology,HUMANITIES,16,2018,http://www.tp.edu.sg/schools/hss/social-sciences-in-gerontology,No
2019/20,TP,T56,Common Engineering Programme,ENGINEERING,22,2018,http://www.tp.edu.sg/schools/eng/common-engineering-programme,No
2019/20,TP,T58,Game Design & Development,INFORMATION & DIGITAL TECHNOLOGIES,18,2018,http://www.tp.edu.sg/schools/iit/game-design-and-development-t58,No
2019/20,TP,T59,Communication Design,MEDIA & DESIGN,16,2018,http://www.tp.edu.sg/schools/des/communication-design-t59,No
2019/20,TP,T60,Big Data & Analytics,INFORMATION & DIGITAL TECHNOLOGIES,13,2018,http://www.tp.edu.sg/schools/iit/big-data-and-analytics-t60,No
2019/20,TP,T62,Cybersecurity & Digital Forensics,INFORMATION & DIGITAL TECHNOLOGIES,11,2018,http://www.tp.edu.sg/schools/iit/cybersecurity-and-digital-forensics,No
2019/20,TP,T63,Common ICT Programme,INFORMATION & DIGITAL TECHNOLOGIES,-,-,http://www.tp.edu.sg/schools/iit/common-ict-programme-t63,Yes
2019/20,TP,T64,Medical Biotechnology,APPLIED SCIENCES,-,-,http://www.tp.edu.sg/schools/asc/medical-biotechnology,Yes
2019/20,TP,T65,Electronics,ENGINEERING,-,-,http://www.tp.edu.sg/schools/eng/electronics,No
2019/20,TP,T66,Mechatronics,ENGINEERING,-,-,http://www.tp.edu.sg/schools/eng/mechatronics,No
2019/20,TP,T67,Marketing,BUSINESS & MANAGEMENT,-,-,http://www.tp.edu.sg/schools/bus/marketing,Yes
2019/20,TP,T68,Early Childhood Development & Education,HUMANITIES,-,-,http://www.tp.edu.sg/schools/hss/early-childhood-development-and-education,Yes
